CID,CRPName
N00027510,"Perlmutter, Edwin G"
N00029339,"Perriello, Tom"
N00034120,"Perry, Scott"
N00029277,"Peters, Gary"
N99999956,"Peters, Mary"
N00033591,"Peters, Scott"
N00004558,"Peterson, Collin C"
N00001422,"Peterson, John E"
N00004426,"Petri, Tom"
N00003341,"Pickering, Charles ""Chip"" Jr"
N00029168,"Pierluisi, Pedro"
N00013817,"Pingree, Chellie"
N00034416,"Pittenger, Robert"
N00001633,"Pitts, Joe"
N00009719,"Platts, Todd"
N99999913,"Plouffe, David"
N00033549,"Pocan, Mark"
N00026457,"Poe, Ted"
N00029127,"Polis, Jared"
N00007516,"Pombo, Richard"
N00008113,"Pomeroy, Earl"
N00030744,"Pompeo, Michael Richard"
N00012560,"Porter, Jon"
N00003682,"Portman, Rob"
N00029662,"Posey, Bill"
N99999955,"Preston, Steven C"
N00002260,"Price, David"
N00026160,"Price, Tom"
N00003504,"Pryce, Deborah"
N00013823,"Pryor, Mark"
N00009618,"Putnam, Adam H"
N00031723,"Quayle, Ben"
N00030581,"Quigley, Mike"
N00001290,"Quinn, Jack"
N00007507,"Radanovich, George"
N00034017,"Radel, Trey"
N00002198,"Rahall, Nick"
N00004484,"Ramstad, Jim"
N00000964,"Rangel, Charles B"
N00000362,"Reed, Jack"
N00030949,"Reed, Tom"
N00003651,"Regula, Ralph"
N00004645,"Rehberg, Denny"
N00026885,"Reichert, Dave"
N00009922,"Reid, Harry"
N00031127,"Renacci, James B"
N00024931,"Renzi, Rick"
N00006067,"Reyes, Silvestre"
N00001295,"Reynolds, Tom"
N00030968,"Ribble, Reid"
N99999990,"Rice, Condoleezza"
N99999935,"Rice, Susan E"
N00033832,"Rice, Tom"
N00029112,"Richardson, Laura"
N00030184,"Richmond, Cedric L"
N00030962,"Rigell, Scott"
N00029441,"Risch, James E"
N00031216,"RIVERA, DAVID"
N00031887,"Rivera, David"
N99999922,"Roberts, John G"
N00005285,"Roberts, Pat"
N00030768,"Roby, Martha"
N00001685,"Rockefeller, Jay"
N00009828,"Rodriguez, Ciro D"
N00028463,"Roe, David Philip"
N00003473,"Rogers, Hal"
N00024759,"Rogers, Mike"
N00009668,"Rogers, Mike"
N00007151,"Rohrabacher, Dana"
N00031741,"Rokita, Todd"
N99999936,"Romer, Christina D"
